subtest,cell,arc,lut,border,eps,v_inside,v_outside,rel_jump
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_high,1e-09,0.1391756942651485,0.13917569433829158,5.255448897012721e-10
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_high,1e-12,0.13917569433821841,0.13917569433829158,5.256930649468166e-13
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_low,0.001,0.07264193114806512,0.07264241706718469,6.689192612041314e-06
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_low,1e-06,0.07264193114806512,0.07264193163398425,6.689237379184715e-09
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_low,1e-09,0.07264193114806512,0.07264193114855104,6.6892062837526555e-12
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_low,1e-12,0.07264193114806512,0.07264193114806561,6.686531671128905e-15
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_high,0.001,0.0733731771450613,0.0733741563265112,1.3345045434683041e-05
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_high,1e-06,0.07337415534732976,0.0733741563265112,1.334504535770417e-08
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_high,1e-09,0.07337415632553201,0.0733741563265112,1.3345147680968653e-11
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,slew_high,1e-12,0.0733741563265102,0.0733741563265112,1.3617883628075385e-14
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_low,0.001,0.008908623665522265,0.009024191974141636,0.012806499346481814
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_low,1e-06,0.008908623665522265,0.008908739233830886,1.2972465080352075e-05
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_low,1e-09,0.008908623665522265,0.008908623781090573,1.297263317378209e-08
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_low,1e-12,0.008908623665522265,0.008908623665637834,1.2972712399876241e-11
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_high,0.001,0.14128193203765757,0.14141896601264095,0.0009689929070131332
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_high,1e-06,0.14141882897866598,0.14141896601264095,9.68992906938945e-07
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_high,1e-09,0.14141896587560698,0.14141896601264095,9.68992854143694e-10
C_clamp_transition,AND2_X1,A1->ZN,rise_transition,load_high,1e-12,0.14141896601250392,0.14141896601264095,9.689596853799041e-13
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_low,0.001,0.034294195818731076,0.034294179409630664,4.784803964647147e-07
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_low,1e-06,0.034294195818731076,0.03429419580232198,4.784802766827781e-10
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_low,1e-09,0.034294195818731076,0.03429419581871468,4.781160748483611e-13
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_low,1e-12,0.034294195818731076,0.03429419581873107,2.0233435245381343e-16
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_high,0.001,0.03753323173143684,0.03753774454469158,0.0001202206821288013
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_high,1e-06,0.03753774003187833,0.03753774454469158,1.2022068195171392e-07
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_high,1e-09,0.03753774454017877,0.03753774454469158,1.2022069489129192e-10
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,slew_high,1e-12,0.03753774454468707,0.03753774454469158,1.2015322423460635e-13
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_low,0.001,0.008497538163611512,0.00855787208700713,0.007050108108909341
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_low,1e-06,0.008497538163611512,0.00849759849753491,7.1001146282399205e-06
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_low,1e-09,0.008497538163611512,0.008497538223945438,7.100165220292087e-09
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_low,1e-12,0.008497538163611512,0.008497538163671848,7.100340834700995e-12
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_high,0.001,0.06593356106818377,0.06599473233330899,0.0009269113300782583
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_high,1e-06,0.06599467116204386,0.06599473233330899,9.269113302506932e-07
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_high,1e-09,0.06599473227213772,0.06599473233330899,9.269115005825927e-10
C_clamp_transition,AND2_X1,A1->ZN,fall_transition,load_high,1e-12,0.06599473233324782,0.06599473233330899,9.269419920954906e-13
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_low,0.001,0.09949326463514116,0.09956635772137686,0.00073411429230179
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_low,1e-06,0.09949326463514116,0.0994933377282274,7.346530723095654e-07
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_low,1e-09,0.09949326463514116,0.09949326470823425,7.346536205518878e-10
C_clamp_transition,AND2_X1,A2->ZN,cell_rise,slew_low,1e-12,0.09949326463514116,0.09949326463521424,7.34526411047981e-13
